system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,measurement_idx,ndvi,ndwi,.geo
4335_0,0.504,0.0597,0.1577,0.11750000000000001,0.0713,0.085,0.0829,0.1246,0.1364,0.1502,0.14020000000000002,0.1525,0.1583,0.0,5,53.330239166666665,4335,0.2568355,-0.24511546,"{""type"":""MultiPoint"",""coordinates"":[]}"
4336_0,0.636,0.0816,0.17400000000000002,0.1279,0.0854,0.101,0.09680000000000001,0.1386,0.152,0.1767,0.15710000000000002,0.1819,0.1922,0.0,5,4.286826944444444,4336,0.23749508,-0.21735762,"{""type"":""MultiPoint"",""coordinates"":[]}"
4337_0,0.636,0.0816,0.17400000000000002,0.1279,0.0854,0.101,0.09680000000000001,0.1386,0.152,0.1767,0.15710000000000002,0.1819,0.1922,0.0,5,5.796506388888889,4337,0.23749508,-0.21735762,"{""type"":""MultiPoint"",""coordinates"":[]}"
4338_0,0.354,0.0528,0.1715,0.1268,0.0654,0.08410000000000001,0.08510000000000001,0.135,0.1504,0.1718,0.1532,0.17880000000000001,0.1584,0.0,5,51.70310611111111,4338,0.28577423,-0.2911926,"{""type"":""MultiPoint"",""coordinates"":[]}"
4339_0,0.354,0.0528,0.1715,0.1268,0.0654,0.08410000000000001,0.08510000000000001,0.135,0.1504,0.1718,0.1532,0.17880000000000001,0.1584,0.0,5,42.55310611111111,4339,0.28577423,-0.2911926,"{""type"":""MultiPoint"",""coordinates"":[]}"
4340_0,0.312,1.3069000000000002,0.4796,0.40900000000000003,1.2704,1.1123,1.0158,1.1038000000000001,0.9998,0.9259000000000001,0.9687,0.8677,1.7016,1.0,9,43.96321944444445,4340,-0.023733938,0.06900529,"{""type"":""MultiPoint"",""coordinates"":[]}"
4341_0,0.312,1.3069000000000002,0.4796,0.40900000000000003,1.2704,1.1123,1.0158,1.1038000000000001,0.9998,0.9259000000000001,0.9687,0.8677,1.7016,1.0,9,53.913219444444444,4341,-0.023733938,0.06900529,"{""type"":""MultiPoint"",""coordinates"":[]}"
4342_0,0.768,0.3689,0.23390000000000002,0.18480000000000002,0.3289,0.3002,0.264,0.3015,0.2864,0.2796,0.2795,0.27690000000000003,0.9403,0.65,8,28.302974166666665,4342,0.02851886,0.035708126,"{""type"":""MultiPoint"",""coordinates"":[]}"
4343_0,0.768,0.3689,0.23390000000000002,0.18480000000000002,0.3289,0.3002,0.264,0.3015,0.2864,0.2796,0.2795,0.27690000000000003,0.9403,0.65,8,18.702974166666667,4343,0.02851886,0.035708126,"{""type"":""MultiPoint"",""coordinates"":[]}"
4344_0,0.552,0.067,0.030000000000000002,0.0219,0.0745,0.08750000000000001,0.0641,0.0971,0.0723,0.0732,0.061200000000000004,0.056600000000000004,0.0809,0.0,6,27.085335277777776,4344,-0.023144454,0.17686617,"{""type"":""MultiPoint"",""coordinates"":[]}"
