system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
32,0.798,0.0151,0.0555,0.0391,0.020800000000000003,0.0689,0.038,0.09970000000000001,0.0952,0.1032,0.09430000000000001,0.07440000000000001,0.09910000000000001,0.0,5,116.75237944444444,0.425548,-0.15563725,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.846,0.8793000000000001,0.2107,0.21430000000000002,0.8488,0.8531000000000001,0.8635,0.9139,0.9192,0.9378000000000001,0.9146000000000001,0.9188000000000001,0.622,0.65,8,6.004435555555555,0.028738542,-0.03479097,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.5700000000000001,0.6096,0.1744,0.1365,0.26580000000000004,0.26480000000000004,0.24530000000000002,0.3018,0.3047,0.3185,0.2906,0.3104,0.1479,0.85,9,68.70169055555556,0.084530696,-0.046453007,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.5700000000000001,0.6096,0.1744,0.1365,0.26580000000000004,0.26480000000000004,0.24530000000000002,0.3018,0.3047,0.3185,0.2906,0.3104,0.1479,0.85,9,78.41835722222223,0.084530696,-0.046453007,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.804,0.08510000000000001,0.0862,0.0682,0.09430000000000001,0.1237,0.085,0.139,0.1158,0.1193,0.1063,0.0926,0.36560000000000004,0.11,10,116.00316,0.111343436,0.075652175,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.34800000000000003,0.0051,0.0221,0.017,0.014,0.0487,0.024800000000000003,0.0726,0.0374,0.042100000000000005,0.0395,0.0257,0.08700000000000001,0.0,7,6.000791666666666,0.22861587,0.10430839,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.318,0.0603,0.0567,0.042,0.07,0.08800000000000001,0.0631,0.1041,0.085,0.0886,0.08750000000000001,0.08020000000000001,0.2592,0.0,10,116.50250416666667,0.1620186,0.0028490028,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.234,0.11230000000000001,0.14500000000000002,0.128,0.09390000000000001,0.11660000000000001,0.10360000000000001,0.1514,0.16440000000000002,0.1806,0.1433,0.1811,0.462,0.08,10,6.500248055555556,0.16079384,-0.10273182,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.384,0.3004,0.12040000000000001,0.09140000000000001,0.196,0.2056,0.1809,0.1956,0.2338,0.26130000000000003,0.2553,0.25420000000000004,0.0903,0.65,8,68.33407888888888,0.17056397,-0.1078325,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.384,0.3004,0.12040000000000001,0.09140000000000001,0.196,0.2056,0.1809,0.1956,0.2338,0.26130000000000003,0.2553,0.25420000000000004,0.0903,0.65,8,78.16741222222223,0.17056397,-0.1078325,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.486,0.8158000000000001,0.24650000000000002,0.20040000000000002,0.7818,0.7935,0.7944,0.8048000000000001,0.8243,0.8393,0.8388,0.8400000000000001,0.3789,0.88,9,67.8340725,0.027185893,-0.027752252,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.486,0.8158000000000001,0.24650000000000002,0.20040000000000002,0.7818,0.7935,0.7944,0.8048000000000001,0.8243,0.8393,0.8388,0.8400000000000001,0.3789,0.88,9,77.75073916666666,0.027185893,-0.027752252,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.588,0.0449,0.042800000000000005,0.0261,0.046,0.0755,0.0524,0.0959,0.09380000000000001,0.0946,0.08600000000000001,0.085,0.1135,0.0,3,67.6374775,0.24277456,-0.06501548,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.588,0.0449,0.042800000000000005,0.0261,0.046,0.0755,0.0524,0.0959,0.09380000000000001,0.0946,0.08600000000000001,0.085,0.1135,0.0,3,77.3874775,0.24277456,-0.06501548,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.384,0.053700000000000005,0.0345,0.023,0.051000000000000004,0.0731,0.0482,0.0823,0.0714,0.07390000000000001,0.064,0.061000000000000006,0.0918,0.0,7,67.9867438888889,0.14081997,0.066374905,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.384,0.053700000000000005,0.0345,0.023,0.051000000000000004,0.0731,0.0482,0.0823,0.0714,0.07390000000000001,0.064,0.061000000000000006,0.0918,0.0,7,78.05341055555556,0.14081997,0.066374905,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.294,0.0362,0.0465,0.0364,0.0342,0.0529,0.039400000000000004,0.06760000000000001,0.058,0.0616,0.048600000000000004,0.0504,0.08080000000000001,0.0,7,19.786311666666666,0.10454545,0.04236453,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.294,0.0362,0.0465,0.0364,0.0342,0.0529,0.039400000000000004,0.06760000000000001,0.058,0.0616,0.048600000000000004,0.0504,0.08080000000000001,0.0,7,30.886311666666668,0.10454545,0.04236453,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.20400000000000001,0.0465,0.047400000000000005,0.0356,0.061200000000000004,0.0805,0.0591,0.07830000000000001,0.061200000000000004,0.0687,0.0599,0.062400000000000004,0.09670000000000001,0.0,2,31.503296666666667,0.006722689,0.14672364,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.20400000000000001,0.6777000000000001,0.2571,0.2882,0.6637000000000001,0.6726000000000001,0.6716000000000001,0.6618,0.6694,0.6834,0.7287,0.6832,0.4949,1.0,9,69.00321805555555,0.040776975,-0.040034253,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.20400000000000001,0.6777000000000001,0.2571,0.2882,0.6637000000000001,0.6726000000000001,0.6716000000000001,0.6618,0.6694,0.6834,0.7287,0.6832,0.4949,1.0,9,79.50321805555555,0.040776975,-0.040034253,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.20400000000000001,0.009300000000000001,0.005200000000000001,0.004,0.016900000000000002,0.0392,0.014,0.0432,0.012,0.014,0.007500000000000001,0.0033,0.0143,0.0,6,44.98711,-0.30232558,0.6788009,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.498,0.0755,0.0205,0.0117,0.06430000000000001,0.0761,0.050100000000000006,0.0756,0.061200000000000004,0.0621,0.049800000000000004,0.046700000000000005,0.0246,0.0,2,116.95231805555555,-0.003003003,0.20889595,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.20400000000000001,0.9959,0.24350000000000002,0.2933,1.0581,1.0795000000000001,1.0808,1.0573000000000001,1.0495,1.0522,1.1405,1.0244,0.8827,0.51,8,6.603376666666667,0.026876153,-0.027477477,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.20400000000000001,0.8899,0.2605,0.27290000000000003,0.9042,0.9164,0.9146000000000001,0.8483,0.8586,0.9059,0.9183,0.9032,0.4932,0.8300000000000001,9,116.67048333333334,0.002018659,-0.0010355917,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.20400000000000001,0.0351,0.015700000000000002,0.0155,0.0236,0.0351,0.0205,0.0373,0.027,0.0292,0.0218,0.0244,0.1187,0.0,6,6.270127777777778,0.03073286,0.23374341,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.20400000000000001,0.0966,0.0285,0.0162,0.0956,0.093,0.067,0.0906,0.08650000000000001,0.0912,0.0763,0.0758,0.0755,0.0,6,44.62161861111111,0.06489881,0.09864146,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.20400000000000001,0.0966,0.0285,0.0162,0.0956,0.093,0.067,0.0906,0.08650000000000001,0.0912,0.0763,0.0758,0.0755,0.0,6,54.83828527777778,0.06489881,0.09864146,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.20400000000000001,0.0956,0.0246,0.0132,0.08420000000000001,0.0907,0.0655,0.0896,0.08940000000000001,0.0892,0.0771,0.0719,0.08030000000000001,0.0,6,44.737004722222224,0.08134642,0.08104887,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.20400000000000001,0.0956,0.0246,0.0132,0.08420000000000001,0.0907,0.0655,0.0896,0.08940000000000001,0.0892,0.0771,0.0719,0.08030000000000001,0.0,6,54.00367138888889,0.08134642,0.08104887,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.20400000000000001,0.0945,0.025500000000000002,0.0143,0.0844,0.0733,0.0557,0.0645,0.0673,0.0736,0.059500000000000004,0.0639,0.0379,0.0,6,68.8215075,0.032986112,0.10391566,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.20400000000000001,0.0945,0.025500000000000002,0.0143,0.0844,0.0733,0.0557,0.0645,0.0673,0.0736,0.059500000000000004,0.0639,0.0379,0.0,6,78.9215075,0.032986112,0.10391566,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.20400000000000001,1.3543,0.5646,0.5126000000000001,1.2278,1.0306,0.9388000000000001,1.0478,0.9702000000000001,0.9148000000000001,0.9783000000000001,0.8951,1.6198000000000001,1.0,9,69.30347472222222,0.020604037,0.026034148,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.20400000000000001,1.3543,0.5646,0.5126000000000001,1.2278,1.0306,0.9388000000000001,1.0478,0.9702000000000001,0.9148000000000001,0.9783000000000001,0.8951,1.6198000000000001,1.0,9,78.95347472222223,0.020604037,0.026034148,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.336,0.1061,0.0438,0.0322,0.10250000000000001,0.09480000000000001,0.0729,0.0889,0.08080000000000001,0.084,0.0729,0.0711,0.0758,0.0,3,20.58867972222222,0.0,0.13059033,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.336,0.1061,0.0438,0.0322,0.10250000000000001,0.09480000000000001,0.0729,0.0889,0.08080000000000001,0.084,0.0729,0.0711,0.0758,0.0,3,30.83867972222222,0.0,0.13059033,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.28800000000000003,0.0485,0.022500000000000003,0.015700000000000002,0.054900000000000004,0.0659,0.0422,0.0707,0.0519,0.055600000000000004,0.0471,0.042300000000000004,0.0716,0.0,3,116.00527416666667,0.05487122,0.16637169,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.51,2.9382,0.9271,0.7012,2.6167000000000002,2.2749,2.0864000000000003,2.0775,1.9886000000000001,1.8921000000000001,1.8170000000000002,1.7718,1.8208000000000002,1.0,9,5.753666944444444,-0.069016755,0.111904,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.28800000000000003,0.007,0.0166,0.0134,0.0154,0.0263,0.014700000000000001,0.036000000000000004,0.0161,0.0167,0.0126,0.0105,0.0393,0.0,6,68.72131805555556,-0.07692308,0.3521851,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.28800000000000003,0.007,0.0166,0.0134,0.0154,0.0263,0.014700000000000001,0.036000000000000004,0.0161,0.0167,0.0126,0.0105,0.0393,0.0,6,77.75465138888889,-0.07692308,0.3521851,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.63,0.0183,0.0356,0.0275,0.0327,0.0453,0.0302,0.042,0.0285,0.0302,0.024200000000000003,0.0257,0.0478,0.0,7,115.50553222222223,-0.11029412,0.30359712,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.797,0.008700000000000001,0.039900000000000005,0.0316,0.0119,0.0367,0.027700000000000002,0.041600000000000005,0.0245,0.026600000000000002,0.0188,0.0221,0.0516,0.0,6,6.085712777777778,-0.19139785,0.32252252,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.378,0.0068000000000000005,0.0137,0.014,0.019200000000000002,0.041,0.020800000000000003,0.0364,0.0014,0.0032,0.0,0.0,0.013800000000000002,0.0,6,92.33706194444444,-1.0,1.0,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.378,0.0068000000000000005,0.0137,0.014,0.019200000000000002,0.041,0.020800000000000003,0.0364,0.0014,0.0032,0.0,0.0,0.013800000000000002,0.0,6,102.67039527777777,-1.0,1.0,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.798,0.16820000000000002,0.08660000000000001,0.0785,0.1295,0.1246,0.0978,0.1265,0.0748,0.0747,0.0627,0.062400000000000004,0.6521,0.12,10,92.16982666666667,-0.21869159,0.33048585,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
