system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,WVP,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
4316,0.6960000000000001,0.0368,0.1476,0.1228,0.061500000000000006,0.1037,0.10010000000000001,0.13670000000000002,0.12380000000000001,0.12490000000000001,0.1179,0.1202,0.1631,0.0,5,3.226,91.99770861111111,0.08165137614678897,-0.06407942238267149,1525,"{""type"":""MultiPoint"",""coordinates"":[]}"
4317,0.6960000000000001,0.0368,0.1476,0.1228,0.061500000000000006,0.1037,0.10010000000000001,0.13670000000000002,0.12380000000000001,0.12490000000000001,0.1179,0.1202,0.1631,0.0,5,3.226,102.23104194444444,0.08165137614678897,-0.06407942238267149,1534,"{""type"":""MultiPoint"",""coordinates"":[]}"
4318,0.72,0.0821,0.08800000000000001,0.067,0.08940000000000001,0.1145,0.096,0.1353,0.1396,0.1502,0.1341,0.1358,0.22410000000000002,0.09,10,3.431,92.16174444444444,0.16558018252933504,-0.07884151246983102,6885,"{""type"":""MultiPoint"",""coordinates"":[]}"
4319,0.222,0.4529,0.228,0.2315,0.3907,0.3768,0.3473,0.4171,0.4132,0.40740000000000004,0.38870000000000005,0.38620000000000004,1.6235000000000002,1.0,9,5.045,68.0959875,0.056250000000000064,-0.015545395166557832,7148,"{""type"":""MultiPoint"",""coordinates"":[]}"
4320,0.222,0.4529,0.228,0.2315,0.3907,0.3768,0.3473,0.4171,0.4132,0.40740000000000004,0.38870000000000005,0.38620000000000004,1.6235000000000002,1.0,9,5.045,78.0459875,0.056250000000000064,-0.015545395166557832,7149,"{""type"":""MultiPoint"",""coordinates"":[]}"
4321,0.186,1.0191000000000001,0.5748,0.388,0.9427000000000001,0.9067000000000001,0.8981,1.0042,0.9379000000000001,0.9116000000000001,0.8516,0.909,1.497,1.0,9,6.0200000000000005,6.180255555555555,-0.0265759844544779,0.0313370869589945,7402,"{""type"":""MultiPoint"",""coordinates"":[]}"
4322,0.34800000000000003,0.0471,0.0351,0.0302,0.0553,0.0712,0.0488,0.0826,0.0585,0.062400000000000004,0.0505,0.046900000000000004,0.1179,0.0,6,4.341,44.16392611111111,0.017119838872104734,0.17009038619556283,7390,"{""type"":""MultiPoint"",""coordinates"":[]}"
4323,0.09,0.21030000000000001,0.0884,0.0881,0.17830000000000001,0.1764,0.15430000000000002,0.2018,0.21100000000000002,0.21880000000000002,0.19940000000000002,0.2157,1.3113000000000001,0.23,8,5.093,116.1307275,0.12750918857789087,-0.06120276742948382,7643,"{""type"":""MultiPoint"",""coordinates"":[]}"
4324,0.18,0.08600000000000001,0.0366,0.030000000000000002,0.08460000000000001,0.09570000000000001,0.0649,0.1043,0.084,0.08950000000000001,0.07400000000000001,0.0708,0.2233,0.0,10,4.581,5.5300980555555554,0.06551475881929453,0.12787271655863286,7645,"{""type"":""MultiPoint"",""coordinates"":[]}"
4325,0.468,0.0385,0.011300000000000001,0.0066,0.0366,0.056100000000000004,0.0341,0.0654,0.0408,0.0396,0.0304,0.0263,0.0126,0.0,6,2.81,44.56402972222222,-0.05736434108527129,0.2971098265895954,7839,"{""type"":""MultiPoint"",""coordinates"":[]}"
