system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,WVP,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
204,0.66,0.0741,0.021,0.0128,0.0818,0.0891,0.06280000000000001,0.1073,0.0889,0.0927,0.0712,0.0627,0.0434,0.0,6,3.577,20.228423055555556,0.06268656716417903,0.11166562694946974,9225,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,0.66,0.0741,0.021,0.0128,0.0818,0.0891,0.06280000000000001,0.1073,0.0889,0.0927,0.0712,0.0627,0.0434,0.0,6,3.577,29.91175638888889,0.06268656716417903,0.11166562694946974,9228,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,0.259,0.0506,0.0146,0.0092,0.0459,0.061000000000000006,0.038200000000000005,0.0665,0.0538,0.053200000000000004,0.044500000000000005,0.0395,0.0333,0.0,6,2.706,68.09653722222222,0.07617896009673518,0.15639810426540285,8400,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,0.259,0.0506,0.0146,0.0092,0.0459,0.061000000000000006,0.038200000000000005,0.0665,0.0538,0.053200000000000004,0.044500000000000005,0.0395,0.0333,0.0,6,2.706,76.99653722222222,0.07617896009673518,0.15639810426540285,8401,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,0.294,0.0485,0.0154,0.0094,0.0455,0.06420000000000001,0.040100000000000004,0.06810000000000001,0.051800000000000006,0.052700000000000004,0.044500000000000005,0.036500000000000005,0.0269,0.0,6,2.15,69.09711444444444,0.05200945626477542,0.18123275068997238,8550,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,0.294,0.0485,0.0154,0.0094,0.0455,0.06420000000000001,0.040100000000000004,0.06810000000000001,0.051800000000000006,0.052700000000000004,0.044500000000000005,0.036500000000000005,0.0269,0.0,6,2.15,77.34711444444444,0.05200945626477542,0.18123275068997238,8551,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,0.178,0.046400000000000004,0.0137,0.010100000000000001,0.049800000000000004,0.062200000000000005,0.0368,0.060200000000000004,0.046700000000000005,0.046700000000000005,0.0393,0.0316,0.035500000000000004,0.0,6,2.0420000000000003,44.84614805555555,0.032851511169513826,0.22561576354679805,8702,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,0.178,0.046400000000000004,0.0137,0.010100000000000001,0.049800000000000004,0.062200000000000005,0.0368,0.060200000000000004,0.046700000000000005,0.046700000000000005,0.0393,0.0316,0.035500000000000004,0.0,6,2.0420000000000003,53.42948138888889,0.032851511169513826,0.22561576354679805,8703,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,0.432,0.8041,0.6449,0.5491,0.8704000000000001,0.7972,0.754,0.7926000000000001,0.7649,0.7338,0.7361000000000001,0.7153,0.9820000000000001,1.0,9,2.985,92.50724944444444,-0.0120126166029125,0.03984869236287741,8892,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,0.432,0.8041,0.6449,0.5491,0.8704000000000001,0.7972,0.754,0.7926000000000001,0.7649,0.7338,0.7361000000000001,0.7153,0.9820000000000001,1.0,9,2.985,101.04058277777777,-0.0120126166029125,0.03984869236287741,8895,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,0.17400000000000002,0.0325,0.0077,0.0046,0.0334,0.0341,0.0229,0.034,0.0211,0.023100000000000002,0.0196,0.0159,0.010400000000000001,0.0,6,2.0420000000000003,68.5794813888889,-0.07764705882352944,0.27001862197392923,8785,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,0.17400000000000002,0.0325,0.0077,0.0046,0.0334,0.0341,0.0229,0.034,0.0211,0.023100000000000002,0.0196,0.0159,0.010400000000000001,0.0,6,2.0420000000000003,77.17948138888889,-0.07764705882352944,0.27001862197392923,8786,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,0.126,0.05,0.047,0.0307,0.0614,0.07930000000000001,0.061000000000000006,0.09290000000000001,0.0689,0.0665,0.0656,0.0521,0.0359,0.0,6,2.54,19.55690611111111,0.03633491311216429,0.09454796411318152,9174,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,0.126,0.05,0.047,0.0307,0.0614,0.07930000000000001,0.061000000000000006,0.09290000000000001,0.0689,0.0665,0.0656,0.0521,0.0359,0.0,6,2.54,29.290239444444445,0.03633491311216429,0.09454796411318152,9178,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,0.324,1.2758,0.7408,0.6248,1.3189,1.1914,1.107,1.1,1.0477,0.9929,1.0532000000000001,0.9517,1.7002000000000002,1.0,9,2.193,21.30593,-0.024905101379501825,0.06156999019869904,8638,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,0.324,1.2758,0.7408,0.6248,1.3189,1.1914,1.107,1.1,1.0477,0.9929,1.0532000000000001,0.9517,1.7002000000000002,1.0,9,2.193,28.822596666666666,-0.024905101379501825,0.06156999019869904,8639,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,0.192,0.0539,0.07010000000000001,0.044000000000000004,0.051000000000000004,0.061000000000000006,0.0472,0.0811,0.0935,0.0974,0.09340000000000001,0.0868,0.1539,0.0,5,2.479,117.42891027777777,0.3285917496443813,-0.20984455958549225,8961,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,0.504,0.0591,0.0712,0.042100000000000005,0.0534,0.068,0.0517,0.09730000000000001,0.09340000000000001,0.0942,0.0884,0.0835,0.1492,0.0,5,2.8000000000000003,5.640009166666666,0.26195574589578874,-0.13043478260869565,8964,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,0.324,0.1208,0.0826,0.0536,0.1158,0.1187,0.0949,0.1317,0.1262,0.1295,0.11670000000000001,0.1154,0.1366,0.0,6,2.136,164.26339305555555,0.1030245746691872,0.008496176720475734,8508,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,0.324,0.1208,0.0826,0.0536,0.1158,0.1187,0.0949,0.1317,0.1262,0.1295,0.11670000000000001,0.1154,0.1366,0.0,6,2.136,173.16339305555556,0.1030245746691872,0.008496176720475734,8510,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,0.162,0.0492,0.0722,0.0506,0.0472,0.0694,0.048100000000000004,0.0781,0.06960000000000001,0.06810000000000001,0.0634,0.0655,0.1158,0.0,7,2.0420000000000003,68.89614805555556,0.13721973094170398,0.045180722891566306,8713,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,0.162,0.0492,0.0722,0.0506,0.0472,0.0694,0.048100000000000004,0.0781,0.06960000000000001,0.06810000000000001,0.0634,0.0655,0.1158,0.0,7,2.0420000000000003,77.04614805555556,0.13721973094170398,0.045180722891566306,8714,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,0.192,0.049600000000000005,0.08070000000000001,0.058100000000000006,0.049800000000000004,0.0635,0.0505,0.0834,0.06960000000000001,0.0811,0.0656,0.0658,0.09040000000000001,0.0,7,2.451,91.97891027777777,0.13006029285099052,-0.016266460108443105,8946,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,0.192,0.049600000000000005,0.08070000000000001,0.058100000000000006,0.049800000000000004,0.0635,0.0505,0.0834,0.06960000000000001,0.0811,0.0656,0.0658,0.09040000000000001,0.0,7,2.451,101.87891027777778,0.13006029285099052,-0.016266460108443105,8951,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,0.594,0.12390000000000001,0.0519,0.029900000000000003,0.11270000000000001,0.11,0.0876,0.1092,0.0937,0.07970000000000001,0.0723,0.0727,0.0787,0.04,6,2.6630000000000003,69.0902538888889,-0.09568480300187615,0.20680197476686776,9146,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,0.594,0.12390000000000001,0.0519,0.029900000000000003,0.11270000000000001,0.11,0.0876,0.1092,0.0937,0.07970000000000001,0.0723,0.0727,0.0787,0.04,6,2.6630000000000003,76.79025388888888,-0.09568480300187615,0.20680197476686776,9147,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,0.744,0.0882,0.101,0.0663,0.08990000000000001,0.0985,0.08,0.11760000000000001,0.1075,0.1017,0.09140000000000001,0.1022,0.0883,0.0,5,3.672,68.06265777777777,0.06651108518086352,0.03738809899947338,9248,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,0.744,0.0882,0.101,0.0663,0.08990000000000001,0.0985,0.08,0.11760000000000001,0.1075,0.1017,0.09140000000000001,0.1022,0.0883,0.0,5,3.672,77.51265777777778,0.06651108518086352,0.03738809899947338,9252,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,0.324,0.1159,0.028,0.016300000000000002,0.1111,0.1101,0.0868,0.1177,0.0915,0.0898,0.0781,0.0702,0.0636,0.0,6,2.121,93.58005972222222,-0.05275924802910855,0.17003188097768332,8467,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,0.168,0.035,0.006900000000000001,0.0049,0.0375,0.0489,0.0316,0.0626,0.0357,0.0352,0.0287,0.021500000000000002,0.0111,0.0,6,2.0420000000000003,69.17948138888889,-0.04809286898839143,0.2603092783505154,8731,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,0.168,0.035,0.006900000000000001,0.0049,0.0375,0.0489,0.0316,0.0626,0.0357,0.0352,0.0287,0.021500000000000002,0.0111,0.0,6,2.0420000000000003,77.37948138888889,-0.04809286898839143,0.2603092783505154,8734,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,0.132,0.3728,0.2763,0.31070000000000003,0.14650000000000002,0.1714,0.191,0.2666,0.28300000000000003,0.30410000000000004,0.17600000000000002,0.3166,0.7736000000000001,0.06,8,2.54,19.906906111111113,-0.04087193460490459,-0.013241220495106563,9176,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,0.132,0.3728,0.2763,0.31070000000000003,0.14650000000000002,0.1714,0.191,0.2666,0.28300000000000003,0.30410000000000004,0.17600000000000002,0.3166,0.7736000000000001,0.06,8,2.54,29.590239444444446,-0.04087193460490459,-0.013241220495106563,9180,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,0.324,0.1148,0.0291,0.0161,0.10930000000000001,0.1148,0.0809,0.1109,0.1078,0.10830000000000001,0.0932,0.0824,0.0704,0.0,6,2.121,69.43005972222223,0.07064905226881106,0.10384615384615381,8450,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,0.324,0.1148,0.0291,0.0161,0.10930000000000001,0.1148,0.0809,0.1109,0.1078,0.10830000000000001,0.0932,0.0824,0.0704,0.0,6,2.121,77.29672638888889,0.07064905226881106,0.10384615384615381,8454,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,0.162,0.0398,0.0097,0.006900000000000001,0.0424,0.0553,0.0286,0.0522,0.0472,0.0482,0.04,0.029400000000000003,0.015000000000000001,0.0,6,2.0420000000000003,92.26281472222222,0.16618075801749274,0.16054564533053517,8748,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,0.162,0.0398,0.0097,0.006900000000000001,0.0424,0.0553,0.0286,0.0522,0.0472,0.0482,0.04,0.029400000000000003,0.015000000000000001,0.0,6,2.0420000000000003,100.81281472222223,0.16618075801749274,0.16054564533053517,8763,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,0.126,0.0522,0.0256,0.0198,0.049600000000000005,0.067,0.0363,0.0719,0.0655,0.0685,0.059500000000000004,0.0409,0.0476,0.0,8,2.54,115.87357277777778,0.24217118997912324,0.05928853754940711,9213,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,0.744,0.0981,0.0224,0.0167,0.09870000000000001,0.0993,0.0654,0.0951,0.07880000000000001,0.0761,0.0553,0.0461,0.0364,0.07,3,3.726,5.779324444444445,-0.0836785418392709,0.28460543337645533,9216,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,0.324,0.1192,0.0315,0.018600000000000002,0.11620000000000001,0.11810000000000001,0.0897,0.12480000000000001,0.10990000000000001,0.10830000000000001,0.09380000000000001,0.0843,0.0784,0.0,6,2.121,69.61339305555556,0.022343324250681234,0.11467673430863615,8451,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,0.324,0.1192,0.0315,0.018600000000000002,0.11620000000000001,0.11810000000000001,0.0897,0.12480000000000001,0.10990000000000001,0.10830000000000001,0.09380000000000001,0.0843,0.0784,0.0,6,2.121,77.51339305555555,0.022343324250681234,0.11467673430863615,8455,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,0.162,0.0393,0.0098,0.0077,0.042,0.056900000000000006,0.0324,0.0577,0.0362,0.0361,0.0313,0.024,0.024900000000000002,0.0,6,2.0420000000000003,92.42948138888889,-0.017268445839874358,0.290249433106576,8761,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,0.162,0.0393,0.0098,0.0077,0.042,0.056900000000000006,0.0324,0.0577,0.0362,0.0361,0.0313,0.024,0.024900000000000002,0.0,6,2.0420000000000003,101.01281472222222,-0.017268445839874358,0.290249433106576,8764,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,0.324,0.42160000000000003,0.2325,0.1534,0.5850000000000001,0.4798,0.3784,0.37520000000000003,0.32730000000000004,0.29100000000000004,0.46340000000000003,0.2484,0.6026,0.84,9,2.193,21.00593,0.10097410311237826,0.017387616624257814,8643,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,0.324,0.42160000000000003,0.2325,0.1534,0.5850000000000001,0.4798,0.3784,0.37520000000000003,0.32730000000000004,0.29100000000000004,0.46340000000000003,0.2484,0.6026,0.84,9,2.193,29.00593,0.10097410311237826,0.017387616624257814,8646,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,0.28200000000000003,0.044000000000000004,0.0131,0.0085,0.0408,0.0551,0.0318,0.053000000000000005,0.0373,0.0342,0.027200000000000002,0.0229,0.0048000000000000004,0.0,7,2.15,45.01378111111111,-0.07796610169491525,0.339003645200486,8555,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,0.28200000000000003,0.044000000000000004,0.0131,0.0085,0.0408,0.0551,0.0318,0.053000000000000005,0.0373,0.0342,0.027200000000000002,0.0229,0.0048000000000000004,0.0,7,2.15,52.947114444444445,-0.07796610169491525,0.339003645200486,8557,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,0.612,0.0601,0.0155,0.01,0.057600000000000005,0.0757,0.0451,0.0758,0.055200000000000006,0.0472,0.0358,0.0261,0.034300000000000004,0.0,7,2.953,69.42274111111111,-0.11495673671199015,0.35784753363228705,8818,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,0.612,0.0601,0.0155,0.01,0.057600000000000005,0.0757,0.0451,0.0758,0.055200000000000006,0.0472,0.0358,0.0261,0.034300000000000004,0.0,7,2.953,78.12274111111111,-0.11495673671199015,0.35784753363228705,8822,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,0.28200000000000003,0.0505,0.060000000000000005,0.033800000000000004,0.0437,0.058100000000000006,0.040600000000000004,0.07830000000000001,0.0781,0.085,0.068,0.068,0.1102,0.0,7,2.15,20.51378111111111,0.2523020257826888,-0.07850911974623313,8526,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,0.28200000000000003,0.0505,0.060000000000000005,0.033800000000000004,0.0437,0.058100000000000006,0.040600000000000004,0.07830000000000001,0.0781,0.085,0.068,0.068,0.1102,0.0,7,2.15,29.530447777777777,0.2523020257826888,-0.07850911974623313,8529,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,0.192,0.0459,0.060700000000000004,0.0381,0.0461,0.056,0.0381,0.0762,0.08990000000000001,0.1028,0.0879,0.0843,0.14750000000000002,0.0,7,2.535,21.295576944444445,0.3952380952380953,-0.22168172341904102,8907,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,0.192,0.0459,0.060700000000000004,0.0381,0.0461,0.056,0.0381,0.0762,0.08990000000000001,0.1028,0.0879,0.0843,0.14750000000000002,0.0,7,2.535,29.61224361111111,0.3952380952380953,-0.22168172341904102,8910,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,0.33,0.045200000000000004,0.015300000000000001,0.0123,0.0472,0.060000000000000005,0.0369,0.0666,0.052500000000000005,0.0494,0.0419,0.033800000000000004,0.0639,0.0,6,2.561,92.32956555555556,0.06345177664974615,0.17762512266928365,9160,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,0.293,0.056400000000000006,0.0635,0.044500000000000005,0.0512,0.0641,0.0529,0.0675,0.0711,0.0755,0.0687,0.07350000000000001,0.0915,0.0,6,2.15,69.29711444444445,0.12993421052631574,-0.034638554216867415,8562,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,0.293,0.056400000000000006,0.0635,0.044500000000000005,0.0512,0.0641,0.0529,0.0675,0.0711,0.0755,0.0687,0.07350000000000001,0.0915,0.0,6,2.15,77.19711444444444,0.12993421052631574,-0.034638554216867415,8564,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,0.612,0.0818,0.0717,0.0485,0.0828,0.09390000000000001,0.07730000000000001,0.0936,0.10250000000000001,0.1004,0.09620000000000001,0.0981,0.12010000000000001,0.0,6,2.953,92.40607444444444,0.10893371757925072,-0.012098895318253531,8823,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,0.612,0.0818,0.0717,0.0485,0.0828,0.09390000000000001,0.07730000000000001,0.0936,0.10250000000000001,0.1004,0.09620000000000001,0.0981,0.12010000000000001,0.0,6,2.953,101.33940777777778,0.10893371757925072,-0.012098895318253531,8825,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,0.336,0.058600000000000006,0.07050000000000001,0.053700000000000005,0.07060000000000001,0.09190000000000001,0.0678,0.1107,0.09570000000000001,0.1019,0.09000000000000001,0.08800000000000001,0.11560000000000001,0.0,6,2.561,92.59623222222223,0.1406844106463879,0.010445299615173166,9161,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,0.336,0.054,0.0451,0.030600000000000002,0.053200000000000004,0.0645,0.044500000000000005,0.0738,0.0656,0.075,0.06910000000000001,0.0596,0.1264,0.0,6,2.561,92.69623222222222,0.2165492957746479,-0.03443113772455095,9162,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,0.289,0.0473,0.013000000000000001,0.0077,0.0446,0.0574,0.0392,0.0709,0.053700000000000005,0.054400000000000004,0.0449,0.0392,0.0148,0.0,6,2.15,69.51378111111111,0.0677764565992866,0.12218963831867055,8563,"{""type"":""MultiPoint"",""coordinates"":[]}"
