system:index,dew_point_temperature_2m_above_ground,downward_longwave_radiation_flux,downward_shortwave_radiation_flux,forecast_creation_dt,forecast_hour,forecast_time,gust,haines_index,maximum_temperature_2m_above_ground,minimum_temperature_2m_above_ground,num_sum,planetary_boundary_layer_height,precipitable_water_entire_atmosphere,precipitation_rate,relative_humidity_2m_above_ground,sample_idx,specific_humidity_2m_above_ground,temperature_2m_above_ground,total_cloud_cover_entire_atmosphere,total_precipitation_surface,u_component_of_wind_10m_above_ground,u_component_of_wind_planetary_boundary_layer,upward_longwave_radiation_flux,upward_shortwave_radiation_flux,v_component_of_wind_10m_above_ground,v_component_of_wind_planetary_boundary_layer,ventilation_rate,.geo
24_1_2025022518F008_0,19.287591552734398,358.0099792480469,43.68000030517578,2025022518,008,8,4.902241230010986,3.0,22.881036376953148,20.052117919921898,1,177.55471801757812,26.176979064941406,0.0,80.0999984741211,24,0.013776985928416252,22.881036376953148,12.600000381469727,0.0,-2.1961522102355957,-4.343288421630859,418.0352478027344,7.712000370025635,-1.4713671207427979,-2.0723876953125,1000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022518F015_0,16.394647216796898,410.1905822753906,914.6799926757812,2025022518,015,15,5.81387996673584,5.0,35.2242370605469,32.3439880371094,1,1459.654541015625,30.799955368041992,0.0,37.5,24,0.011548206210136414,32.86757812500002,1.7000000476837158,0.0,-2.9942991733551025,-3.657440185546875,552.9000244140625,88.46400451660156,6.466916561126709,3.80889892578125,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022518F021_0,18.652215576171898,376.30743408203125,9.139999389648438,2025022518,021,21,8.800777435302734,5.0,28.647698974609398,24.907769775390648,1,313.6097106933594,29.237096786499023,0.0,68.0999984741211,24,0.013268656097352505,24.907769775390648,0.0,0.0,-3.821596622467041,-7.639672756195068,447.23345947265625,1.6320000886917114,-0.022624511271715164,1.3182190656661987,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022518F033_0,18.717889404296898,364.5,140.37998962402344,2025022518,033,33,3.6002299785614014,2.0,26.782037353515648,20.346215820312523,1,505.0356140136719,27.956130981445312,0.0,61.10000228881836,24,0.013302220031619072,26.782037353515648,4.800000190734863,0.0,-2.2695019245147705,-3.3248627185821533,434.4156799316406,20.91200065612793,-0.6844701766967773,-0.287698358297348,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022518F039_0,15.619653320312523,415.09228515625,917.0399780273438,2025022518,039,39,4.900000095367432,6.0,35.88509521484377,33.54705200195315,1,1746.5029296875,30.660139083862305,0.0,32.900001525878906,24,0.01104023214429617,34.3983093261719,95.4000015258789,0.0,-2.9095458984375,-2.4038238525390625,565.5477905273438,88.67200469970703,5.305925369262695,1.2141876220703125,6000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022506F003_0,18.134698486328148,408.8411560058594,914.2999877929688,2025022506,003,-9,5.408536911010742,5.0,34.78670654296877,31.792169189453148,1,1471.6627197265625,31.126821517944336,0.0,43.79999923706055,24,0.01288076862692833,32.03029785156252,19.600000381469727,0.0,-3.5273633003234863,-3.50235915184021,549.5703735351562,88.656005859375,6.0041184425354,2.8920867443084717,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_1_2025022406F003_0,17.897149658203148,406.8000183105469,913.6799926757812,2025022406,003,-33,5.713021278381348,5.0,35.03725585937502,32.1398864746094,1,1561.671875,30.2285213470459,0.0,42.79999923706055,24,0.012762791477143764,32.3598571777344,0.0,0.0,-3.7546727657318115,-3.8803040981292725,552.0040893554688,88.7040023803711,6.457297325134277,3.2796783447265625,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_0,17.699609375000023,369.99407958984375,247.29998779296875,2025022518,034,sample,3.3056302070617676,4.0,29.525781250000023,20.346215820312523,1,1003.9537353515625,27.588865280151367,0.0,48.70000076293945,24,0.012459651567041874,29.525781250000023,5.0,0.0,-2.739316463470459,-3.633648633956909,450.3656311035156,32.592002868652344,0.2289770394563675,0.3830200135707855,4000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_1,50.58083381652841,1610.6152877807617,3660.1961784362793,,,three_day_cum,19.477384984493256,19.232328106151993,137.38875999450693,128.933058166504,4,9610.6615524292,102.86684864759445,0.0,130.0375034213066,24,0.03879600438813213,135.37916984558115,34.531250736210495,0.0,-12.989416193915531,-12.107534979702905,2203.4417304992676,413.3490209579468,4.967729419469833,-2.3196319551207125,41368.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_2,116.11387710571307,3270.0820121765137,7230.298610687256,,,seven_day_cum,34.192997969686985,37.463251259490534,272.28079872131366,254.90218429565448,8,17757.26886367798,235.86177331209183,0.0,289.2125069499016,24,0.08578812757332344,267.8282764434816,68.59375138534233,0.00390625,-19.01923782378435,-15.069751222326886,4424.318635940552,814.0740396976471,18.147104199510068,2.616851933009457,55493.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_3,187.1640834808352,3666.7665843963623,434.9949897734914,,,same_day_sum,32.62249182909727,19.544124742780102,241.47843170166038,220.1892833709719,10,3021.3266990184784,284.8807773590088,0.0,756.6375160217285,24,0.13369123201118782,234.8653545379641,186.62500294065103,0.0,-24.849921338260174,-30.197718538343906,4311.399480819702,71.79950390267186,-5.268571633961983,-3.661541052380926,12875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_2_4,438.3267211914068,9407.319463729858,6447.314380457858,,,before_day_sum,134.8617257848382,86.48501028879588,707.8237361907965,620.4508895874029,25,18581.819847345352,685.4121086597443,0.0,1571.837528347969,24,0.31362362776417285,663.2153301239019,300.7000047964975,0.0,-88.82055698335171,-117.194152161479,11606.59750175476,783.481036082725,12.682861080567818,11.384196100596455,94625.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022518F008_0,19.287591552734398,358.0099792480469,43.68000030517578,2025022518,008,8,4.902241230010986,3.0,22.881036376953148,20.052117919921898,1,177.55471801757812,26.176979064941406,0.0,80.0999984741211,25,0.013776985928416252,22.881036376953148,12.600000381469727,0.0,-2.1961522102355957,-4.343288421630859,418.0352478027344,7.712000370025635,-1.4713671207427979,-2.0723876953125,1000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022518F015_0,16.394647216796898,410.1905822753906,914.6799926757812,2025022518,015,15,5.81387996673584,5.0,35.2242370605469,32.3439880371094,1,1459.654541015625,30.799955368041992,0.0,37.5,25,0.011548206210136414,32.86757812500002,1.7000000476837158,0.0,-2.9942991733551025,-3.657440185546875,552.9000244140625,88.46400451660156,6.466916561126709,3.80889892578125,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022518F021_0,18.652215576171898,376.30743408203125,9.139999389648438,2025022518,021,21,8.800777435302734,5.0,28.647698974609398,24.907769775390648,1,313.6097106933594,29.237096786499023,0.0,68.0999984741211,25,0.013268656097352505,24.907769775390648,0.0,0.0,-3.821596622467041,-7.639672756195068,447.23345947265625,1.6320000886917114,-0.022624511271715164,1.3182190656661987,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022518F033_0,18.717889404296898,364.5,140.37998962402344,2025022518,033,33,3.6002299785614014,2.0,26.782037353515648,20.346215820312523,1,505.0356140136719,27.956130981445312,0.0,61.10000228881836,25,0.013302220031619072,26.782037353515648,4.800000190734863,0.0,-2.2695019245147705,-3.3248627185821533,434.4156799316406,20.91200065612793,-0.6844701766967773,-0.287698358297348,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022518F039_0,15.619653320312523,415.09228515625,917.0399780273438,2025022518,039,39,4.900000095367432,6.0,35.88509521484377,33.54705200195315,1,1746.5029296875,30.660139083862305,0.0,32.900001525878906,25,0.01104023214429617,34.3983093261719,95.4000015258789,0.0,-2.9095458984375,-2.4038238525390625,565.5477905273438,88.67200469970703,5.305925369262695,1.2141876220703125,6000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022506F003_0,18.134698486328148,408.8411560058594,914.2999877929688,2025022506,003,-9,5.408536911010742,5.0,34.78670654296877,31.792169189453148,1,1471.6627197265625,31.126821517944336,0.0,43.79999923706055,25,0.01288076862692833,32.03029785156252,19.600000381469727,0.0,-3.5273633003234863,-3.50235915184021,549.5703735351562,88.656005859375,6.0041184425354,2.8920867443084717,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_1_2025022406F003_0,17.897149658203148,406.8000183105469,913.6799926757812,2025022406,003,-33,5.713021278381348,5.0,35.03725585937502,32.1398864746094,1,1561.671875,30.2285213470459,0.0,42.79999923706055,25,0.012762791477143764,32.3598571777344,0.0,0.0,-3.7546727657318115,-3.8803040981292725,552.0040893554688,88.7040023803711,6.457297325134277,3.2796783447265625,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_0,18.083856201171898,410.09228515625,781.8399658203125,2025022518,041,sample,6.807913303375244,4.0,35.88509521484377,29.784204101562523,1,547.748046875,31.219511032104492,0.0,47.900001525878906,25,0.012813839130103588,30.154199218750023,5.0,0.0,-3.536992073059082,-4.035789489746094,545.3399658203125,80.19200134277344,5.154316425323486,6.8260955810546875,4000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_1,50.58083381652841,1610.6152877807617,3660.1961784362793,,,three_day_cum,19.477384984493256,19.232328106151993,137.38875999450693,128.933058166504,4,9610.6615524292,102.86684864759445,0.0,130.0375034213066,25,0.03879600438813213,135.37916984558115,34.531250736210495,0.0,-12.989416193915531,-12.107534979702905,2203.4417304992676,413.3490209579468,4.967729419469833,-2.3196319551207125,41368.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_2,116.11387710571307,3270.0820121765137,7230.298610687256,,,seven_day_cum,34.192997969686985,37.463251259490534,272.28079872131366,254.90218429565448,8,17757.26886367798,235.86177331209183,0.0,289.2125069499016,25,0.08578812757332344,267.8282764434816,68.59375138534233,0.00390625,-19.01923782378435,-15.069751222326886,4424.318635940552,814.0740396976471,18.147104199510068,2.616851933009457,55493.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_3,292.60850830078164,6457.929725646973,5707.001896282891,,,same_day_sum,60.76103659719229,51.7012843255517,477.302073669434,422.99595375061074,17,14938.341559171677,480.0240091085434,0.0,1012.1562708616257,25,0.20933548622997478,466.0866100311283,466.2875069840811,0.0,-45.53800927102566,-52.70928851515055,8040.280952453613,685.6000333826523,6.275881317240419,1.1752089781366521,51250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_2_4,438.3267211914068,9407.319463729858,6447.314380457858,,,before_day_sum,134.8617257848382,86.48501028879588,707.8237361907965,620.4508895874029,25,18581.819847345352,685.4121086597443,0.0,1571.837528347969,25,0.31362362776417285,663.2153301239019,300.7000047964975,0.0,-88.82055698335171,-117.194152161479,11606.59750175476,783.481036082725,12.682861080567818,11.384196100596455,94625.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022518F008_0,19.197595214843773,358.1099548339844,41.939998626708984,2025022518,008,8,4.70224142074585,3.0,22.981042480468773,20.282128906250023,1,181.95472717285156,26.036178588867188,0.0,79.20000457763672,26,0.013698265887796879,22.981042480468773,5.0,0.0,-2.3861522674560547,-4.343288421630859,418.0352478027344,9.26400089263916,-1.4813671112060547,-2.0723876953125,1000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022518F015_0,13.324639892578148,411.79058837890625,920.0199584960938,2025022518,015,15,5.2138800621032715,6.0,36.40422973632815,33.7340026855469,1,2717.894287109375,28.635154724121094,0.0,25.600000381469727,26,0.009481006301939487,35.93758544921877,1.7000000476837158,0.0,-4.824299335479736,-3.657440185546875,571.2999877929688,111.3600082397461,2.9369163513183594,-1.19110107421875,11000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022518F021_0,18.692193603515648,377.30743408203125,9.719999313354492,2025022518,021,21,8.700778007507324,5.0,28.527673339843773,25.317773437500023,1,317.0497131347656,29.657896041870117,0.0,66.5999984741211,26,0.013298735953867435,25.317773437500023,2.700000047683716,0.0,-3.8615965843200684,-7.239673137664795,447.9334411621094,2.1760001182556152,0.85737544298172,2.4182190895080566,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022518F033_0,18.417901611328148,364.8999938964844,138.09999084472656,2025022518,033,33,3.6002299785614014,2.0,26.842034912109398,20.606195068359398,1,532.4755859375,27.420129776000977,0.0,59.70000076293945,26,0.013041740283370018,26.842034912109398,3.299999952316284,0.0,-2.549501895904541,-3.3248627185821533,435.4156799316406,25.744001388549805,-0.47447019815444946,0.012301635928452015,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022518F039_0,12.419671630859398,417.09228515625,920.760009765625,2025022518,039,39,4.200000286102295,6.0,37.05510864257815,34.03704223632815,1,2800.10302734375,28.30653953552246,0.0,22.899999618530273,26,0.008957033045589924,36.82830200195315,69.5,0.0,-3.719545841217041,-2.4038238525390625,579.94775390625,111.2800064086914,1.6559252738952637,-1.7858123779296875,9000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022506F003_0,13.944696044921898,409.64117431640625,919.9599609375,2025022506,003,-9,4.808537006378174,6.0,35.92672119140627,33.31215820312502,1,2722.22265625,28.32522201538086,0.0,27.80000114440918,26,0.009879169054329395,35.22030029296877,5.0,0.0,-4.737363338470459,-3.302359104156494,568.0703735351562,111.74400329589844,3.22411847114563,-0.7079132199287415,9000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_1_2025022406F003_0,12.437158203125023,403.8000183105469,922.219970703125,2025022406,003,-33,4.613021373748779,6.0,36.10726318359377,34.16988525390627,1,2878.791748046875,25.47972297668457,0.0,24.700000762939453,26,0.00898487213999033,35.6198669433594,0.0,0.0,-4.754672527313232,-3.580303907394409,570.1041259765625,112.4800033569336,2.4572973251342773,-1.0203217267990112,11000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_0,17.299615478515648,370.0940856933594,245.01998901367188,2025022518,034,sample,3.405630111694336,4.0,29.485803222656273,20.606195068359398,1,1010.3536987304688,27.23846435546875,0.0,47.5,26,0.012136450968682766,29.485803222656273,4.900000095367432,0.0,-2.8793163299560547,-3.133648633956909,451.96563720703125,40.384002685546875,0.4789770543575287,0.78302001953125,4000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_1,50.58083381652841,1610.6152877807617,3660.1961784362793,,,three_day_cum,19.477384984493256,19.232328106151993,137.38875999450693,128.933058166504,4,9610.6615524292,102.86684864759445,0.0,130.0375034213066,26,0.03879600438813213,135.37916984558115,34.531250736210495,0.0,-12.989416193915531,-12.107534979702905,2203.4417304992676,413.3490209579468,4.967729419469833,-2.3196319551207125,41368.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_2,116.11387710571307,3270.0820121765137,7230.298610687256,,,seven_day_cum,34.192997969686985,37.463251259490534,272.28079872131366,254.90218429565448,8,17757.26886367798,235.86177331209183,0.0,289.2125069499016,26,0.08578812757332344,267.8282764434816,68.59375138534233,0.00390625,-19.01923782378435,-15.069751222326886,4424.318635940552,814.0740396976471,18.147104199510068,2.616851933009457,55493.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_3,187.1640834808352,3666.7665843963623,434.9949897734914,,,same_day_sum,32.62249182909727,19.544124742780102,241.47843170166038,220.1892833709719,10,3021.3266990184784,284.8807773590088,0.0,756.6375160217285,26,0.13369123201118782,234.8653545379641,186.62500294065103,0.0,-24.849921338260174,-30.197718538343906,4311.399480819702,71.79950390267186,-5.268571633961983,-3.661541052380926,12875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_2_4,438.3267211914068,9407.319463729858,6447.314380457858,,,before_day_sum,134.8617257848382,86.48501028879588,707.8237361907965,620.4508895874029,25,18581.819847345352,685.4121086597443,0.0,1571.837528347969,26,0.31362362776417285,663.2153301239019,300.7000047964975,0.0,-88.82055698335171,-117.194152161479,11606.59750175476,783.481036082725,12.682861080567818,11.384196100596455,94625.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_1_2025022518F008_0,19.197595214843773,358.1099548339844,41.939998626708984,2025022518,008,8,4.70224142074585,3.0,22.981042480468773,20.282128906250023,1,181.95472717285156,26.036178588867188,0.0,79.20000457763672,27,0.013698265887796879,22.981042480468773,5.0,0.0,-2.3861522674560547,-4.343288421630859,418.0352478027344,9.26400089263916,-1.4813671112060547,-2.0723876953125,1000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_1_2025022518F015_0,13.324639892578148,411.79058837890625,920.0199584960938,2025022518,015,15,5.2138800621032715,6.0,36.40422973632815,33.7340026855469,1,2717.894287109375,28.635154724121094,0.0,25.600000381469727,27,0.009481006301939487,35.93758544921877,1.7000000476837158,0.0,-4.824299335479736,-3.657440185546875,571.2999877929688,111.3600082397461,2.9369163513183594,-1.19110107421875,11000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_1_2025022518F021_0,18.692193603515648,377.30743408203125,9.719999313354492,2025022518,021,21,8.700778007507324,5.0,28.527673339843773,25.317773437500023,1,317.0497131347656,29.657896041870117,0.0,66.5999984741211,27,0.013298735953867435,25.317773437500023,2.700000047683716,0.0,-3.8615965843200684,-7.239673137664795,447.9334411621094,2.1760001182556152,0.85737544298172,2.4182190895080566,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
