sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
8898,2025-02-20 16:14:00+05:30,NL-KSR1,NL,NL-KSR,False,16,9.2,8.29,,,True,True,2025-01-23 15:48:00+05:30,8.7,8.27,,,0.0,0.0,0.0,,3000.0,350.0,True,True,False,False,False,False
8408,2025-01-03 07:17:00+05:30,NL-MLI1,NL,NL-MLI,True,7,3.2,8.07,,0.29,True,,,,,,,,,,,,,,,,,,
8409,2025-01-03 16:15:00+05:30,NL-MLI1,NL,NL-MLI,False,16,9.0,8.36,,,True,,,,,,,,,,,,,,,,,,
8402,2025-01-02 06:40:00+05:30,NL-MVW1,NL,NL-MVW,True,6,3.7,7.94,,0.28,True,,,,,,,,,,,,,,,,,,
8403,2025-01-02 15:50:00+05:30,NL-MVW1,NL,NL-MVW,False,15,8.4,8.24,,,True,,,,,,,,,,,,,,,,,,
8742,2025-02-03 07:44:00+05:30,NL-MVW1,NL,NL-MVW,True,7,4.8,7.9,,0.21,True,True,2025-01-02 06:40:00+05:30,3.7,7.94,,0.28,0.0,0.0,0.0,30.0,2778.0,550.0,True,True,False,False,False,False
8743,2025-02-03 16:20:00+05:30,NL-MVW1,NL,NL-MVW,False,16,9.2,8.31,,,True,True,2025-01-02 15:50:00+05:30,8.4,8.24,,,0.0,0.0,0.0,,2778.0,550.0,True,True,False,False,False,False
9116,2025-03-10 07:28:00+05:30,NL-MVW1,NL,NL-MVW,True,7,3.7,8.03,,0.07,True,True,2025-02-03 07:44:00+05:30,4.8,7.9,,0.21,0.0,0.0,0.0,40.0,2778.0,650.0,True,True,False,False,False,False
9117,2025-03-10 16:35:00+05:30,NL-MVW1,NL,NL-MVW,False,16,8.5,8.36,,,True,True,2025-02-03 16:20:00+05:30,9.2,8.31,,,0.0,0.0,0.0,,2778.0,650.0,True,True,False,False,False,False
8658,2025-01-29 07:19:00+05:30,NL-PAV1,NL,NL-PAV,True,7,3.8,7.79,,0.13,True,,,,,,,,,,,,,,,,,,
8659,2025-01-29 15:40:00+05:30,NL-PAV1,NL,NL-PAV,False,15,9.6,8.26,,,True,,,,,,,,,,,,,,,,,,
8976,2025-02-25 08:03:00+05:30,NL-PAV1,NL,NL-PAV,True,8,3.7,7.98,,0.21,True,True,2025-01-29 07:19:00+05:30,3.8,7.79,,0.13,0.0,0.0,0.0,110.0,2321.0,800.0,False,False,False,False,False,False
8977,2025-02-25 17:18:00+05:30,NL-PAV1,NL,NL-PAV,False,17,9.0,8.41,,,True,True,2025-01-29 15:40:00+05:30,9.6,8.26,,,0.0,0.0,0.0,,2321.0,800.0,False,False,False,False,False,False
8410,2025-01-03 07:34:00+05:30,NL-PSR1,NL,NL-PSR,True,7,3.4,8.04,,0.12,True,,,,,,,,,,,,,,,,,,
8411,2025-01-03 16:39:00+05:30,NL-PSR1,NL,NL-PSR,False,16,8.5,8.38,,,True,,,,,,,,,,,,,,,,,,
8744,2025-02-03 07:55:00+05:30,NL-PSR1,NL,NL-PSR,True,7,3.4,7.93,,0.14,True,True,2025-01-03 07:34:00+05:30,3.4,8.04,,0.12,0.0,0.0,0.0,35.0,2941.0,550.0,False,False,False,False,False,False
8745,2025-02-03 16:38:00+05:30,NL-PSR1,NL,NL-PSR,False,16,8.7,8.32,,,True,True,2025-01-03 16:39:00+05:30,8.5,8.38,,,0.0,0.0,0.0,,2941.0,550.0,False,False,False,False,False,False
9062,2025-03-07 06:47:00+05:30,NL-PSR1,NL,NL-PSR,True,6,4.8,8.74,,0.11,True,True,2025-02-03 07:55:00+05:30,3.4,7.93,,0.14,0.0,0.0,0.0,45.0,2941.0,650.0,False,False,False,False,False,False
