sample_dt,do_mg_per_L,turbidity_cm,ph,ammonia_mg_per_L,pond_id,do_in_range,ph_in_range,ammonia_in_range,turbidity_in_range,morning,time_of_day,ds
2023-04-17 07:58:00+05:30,3.9,43.0,8.2,0.11,NL-CHI1,within,within,within,within,True,morning,train
2023-04-17 17:53:00+05:30,8.6,,8.4,,NL-CHI1,within,within,,,False,evening,train
2023-05-17 07:23:00+05:30,3.8,33.0,8.0,0.07,NL-CHI1,within,within,within,within,True,morning,train
2023-05-17 17:19:00+05:30,9.7,,8.3,,NL-CHI1,within,within,,,False,evening,train
2023-06-16 07:18:00+05:30,2.1,34.0,8.2,0.07,NL-CHI1,below,within,within,within,True,morning,train
2023-06-16 17:40:00+05:30,7.2,,8.4,,NL-CHI1,below,within,,,False,evening,train
2023-07-27 07:55:00+05:30,4.0,39.0,8.5,0.05,NL-CHI1,within,within,within,within,True,morning,train
2023-07-27 17:25:00+05:30,10.0,,9.2,,NL-CHI1,within,above,,,False,evening,train
2023-09-07 07:24:00+05:30,4.6,34.0,8.2,0.19,NL-CHI1,within,within,within,within,True,morning,train
2023-09-07 17:10:00+05:30,11.1,,8.4,,NL-CHI1,within,within,,,False,evening,train
2023-10-10 07:43:00+05:30,3.6,34.0,8.26,0.16,NL-CHI1,within,within,within,within,True,morning,train
2023-10-10 17:26:00+05:30,9.6,,8.41,,NL-CHI1,within,within,,,False,evening,train
2023-11-16 07:19:00+05:30,3.3,28.0,8.05,0.2,NL-CHI1,within,within,within,within,True,morning,train
2023-11-16 16:37:00+05:30,11.4,,8.29,,NL-CHI1,within,within,,,False,evening,train
2024-04-08 07:25:00+05:30,4.4,36.0,8.03,0.0,NL-CHI1,within,within,within,within,True,morning,train
2024-04-08 17:05:00+05:30,11.1,36.0,8.3,0.0,NL-CHI1,within,within,within,within,False,evening,train
2024-05-10 06:47:00+05:30,3.5,33.0,8.09,0.0,NL-CHI1,within,within,within,within,True,morning,train
2024-05-10 17:16:00+05:30,8.9,33.0,8.32,0.0,NL-CHI1,within,within,within,within,False,evening,train
2021-12-23 06:59:00+05:30,3.15,34.0,7.53,0.0,NL-CHS1,within,within,within,within,True,morning,train
2021-12-23 16:35:00+05:30,8.35,,8.26,,NL-CHS1,within,within,,,False,evening,train
2022-01-05 07:10:00+05:30,6.45,38.0,7.88,,NL-CHS1,above,within,,within,True,morning,train
2022-01-05 17:08:00+05:30,11.4,38.0,8.08,,NL-CHS1,within,within,,within,False,evening,train
2022-01-22 07:15:00+05:30,4.75,29.0,8.35,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-01-22 16:58:00+05:30,11.45,29.0,8.48,,NL-CHS1,within,within,,within,False,evening,train
2022-02-03 07:20:00+05:30,3.95,29.0,8.04,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-02-03 17:45:00+05:30,8.35,29.0,8.21,,NL-CHS1,within,within,,within,False,evening,train
2022-02-18 07:25:00+05:30,3.4,28.0,7.58,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-02-18 17:15:00+05:30,8.85,28.0,8.07,,NL-CHS1,within,within,,within,False,evening,train
2022-03-08 07:10:00+05:30,4.2,27.0,7.73,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-03-08 17:15:00+05:30,11.6,27.0,8.18,,NL-CHS1,within,within,,within,False,evening,train
2022-03-23 07:00:00+05:30,3.2,25.0,7.94,0.03,NL-CHS1,within,within,within,within,True,morning,train
2022-03-23 17:10:00+05:30,11.45,25.0,8.17,,NL-CHS1,within,within,,within,False,evening,train
2022-04-08 07:15:00+05:30,3.9,26.0,8.02,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-04-08 17:10:00+05:30,8.85,26.0,8.29,,NL-CHS1,within,within,,within,False,evening,train
2022-04-22 09:16:00+05:30,3.4,26.0,8.03,,NL-CHS1,within,within,,within,True,morning,train
2022-04-22 17:10:00+05:30,11.25,26.0,8.36,,NL-CHS1,within,within,,within,False,evening,train
2022-05-07 07:28:00+05:30,3.6,21.0,8.57,,NL-CHS1,within,above,,within,True,morning,train
2022-05-07 16:30:00+05:30,10.15,21.0,8.99,,NL-CHS1,within,above,,within,False,evening,train
2022-05-26 07:05:00+05:30,4.15,22.0,8.11,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-05-26 17:05:00+05:30,8.25,22.0,8.41,,NL-CHS1,within,within,,within,False,evening,train
2022-06-14 07:01:00+05:30,3.4,25.0,8.0,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-06-14 17:01:00+05:30,9.55,25.0,8.22,0.0,NL-CHS1,within,within,within,within,False,evening,train
2022-06-25 07:15:00+05:30,3.9,37.0,8.37,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-06-25 16:35:00+05:30,10.5,37.0,8.54,0.0,NL-CHS1,within,above,within,within,False,evening,train
2022-07-12 06:50:00+05:30,3.75,28.0,7.85,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-07-12 16:45:00+05:30,10.15,28.0,8.36,0.0,NL-CHS1,within,within,within,within,False,evening,train
2022-08-04 06:50:00+05:30,3.8,26.0,7.86,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-08-04 16:47:00+05:30,8.6,26.0,8.22,0.0,NL-CHS1,within,within,within,within,False,evening,train
